Ticker,year,quarter,price_change_%
SHEL,2023,1,4.46
SHEL,2023,2,-0.15
SHEL,2023,3,6.92
SHEL,2023,4,4.9
SHEL,2024,1,2.83
SHEL,2024,2,7.28
SHEL,2024,3,-8.42
SHEL,2024,4,-6.64
SHEL,2025,1,16.5
SHEL,2025,2,-1.79
SHEL,2025,3,2.78
SHEL,2025,4,2.9
