Ticker,SARIMAX Cumulative Return (%)
DVN,231.03186668105934
TALO,26.974634083854497
NOG,9.398255663402821
NFG,-1.7115997591023668
CVX,-9.782844959057279
RRC,-11.001570824254813
CNX,-16.35563455428982
EXE,-17.042884757229103
MTDR,-26.144099531563803
