Ticker,Best Order,Sharpe,d_val,Status
CVX,"(3, 0, 3)",0.6829,0,OK
NFG,"(4, 0, 2)",0.4084,0,OK
DVN,"(4, 0, 2)",0.8179,0,OK
EXE,"(1, 0, 4)",1.1238,0,OK
MTDR,"(0, 0, 4)",0.7269,0,OK
CNX,"(4, 0, 4)",0.2823,0,OK
NOG,"(4, 0, 0)",0.6788,0,OK
RRC,"(2, 1, 4)",0.3356,1,OK
TALO,"(3, 1, 0)",0.1436,1,OK
