,importance
Stock/Oil ZScore,0.3640804543622186
ROA,0.21575995435014642
CostExpenses/BOED,0.1296507640562656
PGR,0.10551197355306427
OCF/BOED,0.09890299869814201
BOED,0.08609385498016314
