Ticker,Date,BOED,OCF/BOED,ROA,CostExpenses/BOED,Stock/Oil ZScore,PGR,Monthly Return
NFG,2025-12-31,53051.0,5182.202032006937,1.973142794077519,7075.908088443196,2.825965906205209,11.73,8.88084040365845
COP,2025-12-31,224000.0,88375.0,6.550816391802458,29205.35714285714,1.994984985064348,21.73913043478261,16.205524084625225
FANG,2025-12-31,497156.0,17616.20095100934,2.3417160387846723,27677.429217388504,2.364789700609543,53.53,12.146606987577277
DVN,2025-12-31,389000.0,17251.928020565552,8.361024083040602,7275.064267352185,1.153904326243242,-0.41000000000000003,20.22931922287652
EXE,2025-12-31,16164.0,283036.37713437265,6.430515784636052,597191.2892848304,2.37667099203286,90.67272727272727,-6.89561486794497
MTDR,2025-12-31,207070.0,11711.088037861593,6.48321187467492,11927.053653353938,1.333320174292614,20.94,11.663533433665622
CNX,2025-12-31,297100.0,3463.3355772467185,6.962073335747994,4834.039044092898,3.128684916227737,14.19,8.322005262974976
GPOR,2025-12-31,183006.0,4388.888888888889,14.121285739749268,4492.524835251304,2.429356816866025,-1.77,-6.173379132441869
TALO,2025-12-31,65900.0,14200.698027314113,-8.90282646593866,35513.657056145676,-0.402151309911282,2.16,14.609796640643417
DMLP,2025-12-31,11010.0,12033.151680290644,18.527300567913837,8672.11625794732,2.3366056814337632,0.6910000000000001,16.710294282880326
CVX,2025-09-30,6609000.0,3502.799213194129,1.083917047727265,6704.796489635346,1.890710780811948,7.22,-1.2685841273981842
NFG,2025-09-30,201552.0,5457.782606969913,5.946757831997417,7264.041041517822,3.088965471323187,8.7515,-13.954745388663907
SLNG,2025-09-30,100000.0,79.34,1.284169937340769,195.32,-0.937631530199959,0.0,9.174313832990853
FANG,2025-09-30,503750.0,12734.491315136476,1.3357301247818612,5335.980148883375,1.586286640404571,3.64,2.145352146790834
DVN,2025-09-30,390000.0,4333.333333333333,2.200442010185452,7256.410256410257,0.545046211159532,1.43,0.45636329211882704
RRC,2025-09-30,371305.0,2461.0980191486783,2.00488679607817,1522.1556402418496,0.5644722473435221,1.0602,2.125394571356494
MTDR,2025-09-30,205648.0,9484.974325060297,1.514281975644963,3078.250213957831,1.141840416112915,27.62,-10.385688167818174
CNX,2025-09-30,217700.0,3362.0027560863573,2.269770009786483,1461.40560404226,1.980666504820598,16.62,15.255297910408055
CRC,2025-09-30,137000.0,2036.4963503649635,0.948007702562583,5518.248175182482,2.015333854987704,38.38383838383838,-10.28582073625535
GPOR,2025-09-30,193048.0,3200.0383324354566,3.7953386632685913,1143.5290704902407,1.47573388262462,5.91,16.896896095130938
TALO,2025-09-30,126933.0,5782.940606461677,-1.682703273643468,4224.543656889855,-0.788372926961548,-1.3599999999999999,8.342024796725168
DMLP,2025-09-30,3719.0,26396.611992471095,3.381934964419005,6518.687819306265,2.42338989684758,-15.78,-5.689560137818118
REPX,2025-09-30,16263.0,9080.182008239562,1.37156709514848,4795.548176843141,-0.07197212756238401,24.24,-2.987103996583203
CKX,2025-09-30,1000000.0,0.336296,0.867999547168795,0.11928599999999999,0.15566745883430302,0.0,-7.450627451762616
CVX,2025-06-30,3346500.0,4113.252652024503,0.9927438003349011,12154.489765426564,1.294821897873603,1.6600000000000001,7.856689187130055
NFG,2025-06-30,233600.0,3691.25,1.773800164808623,1291.001712328767,2.4414171977698302,162.3,3.600520018780786
FANG,2025-06-30,485873.0,8298.464825170364,0.9716295297535481,5225.645384699294,1.326757188258927,88.21,0.793318822941915
DVN,2025-06-30,388000.0,3981.958762886598,2.863969417011787,7293.81443298969,0.13372484083925001,20.69,4.746933149560409
EXE,2025-06-30,1301333.3333333333,1858.094262295082,3.486027081532699,1860.3995901639346,2.035924486924708,8.96,-18.00068765283717
RRC,2025-06-30,6382.0,104398.77781259794,3.34376197641388,86843.15261673457,0.72261524170631,-2.07,-15.957700035342041
